image,tile_name,total_pixels,black_pixels,non_black_pixels
16045-1-101002,"16045-1-101002 [d=2.1996,x=7039,y=37833,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7039,y=38713,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7039,y=39593,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7039,y=40473,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7039,y=41352,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7039,y=880,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7919,y=0,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7919,y=30794,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7919,y=31674,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7919,y=32554,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7919,y=33434,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7919,y=34314,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7919,y=35194,w=879,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7919,y=36073,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7919,y=36953,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7919,y=37833,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7919,y=38713,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7919,y=39593,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7919,y=40473,w=879,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7919,y=41352,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7919,y=42232,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=7919,y=880,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=8798,y=0,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=8798,y=31674,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=8798,y=32554,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=8798,y=33434,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=8798,y=34314,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=8798,y=35194,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=8798,y=36073,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=8798,y=36953,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=8798,y=37833,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=8798,y=38713,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=8798,y=39593,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=8798,y=40473,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=8798,y=41352,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=8798,y=42232,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=8798,y=43112,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=8798,y=880,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=880,y=0,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=880,y=880,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=9678,y=0,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=9678,y=31674,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=9678,y=32554,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=9678,y=33434,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=9678,y=34314,w=880,h=880]",480000,479997,3
16045-1-101002,"16045-1-101002 [d=2.1996,x=9678,y=35194,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=9678,y=36073,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=9678,y=36953,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=9678,y=37833,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=9678,y=38713,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=9678,y=39593,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=9678,y=40473,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=9678,y=41352,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=9678,y=42232,w=880,h=880]",480000,479997,3
16045-1-101002,"16045-1-101002 [d=2.1996,x=9678,y=43112,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=9678,y=880,w=880,h=880]",480000,480000,0
image,tile_name,total_pixels,black_pixels,non_black_pixels
16045-1-101002,"16045-1-101002 [d=2.1996,x=0,y=0,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=0,y=880,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=0,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=30794,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=31674,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=32554,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=33434,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=34314,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=35194,w=880,h=879]",480000,479997,3
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=36073,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=36953,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=37833,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=38713,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=39593,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=40473,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=41352,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=42232,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=43112,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=43992,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=44872,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=10558,y=880,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=0,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=30794,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=31674,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=32554,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=33434,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=34314,w=880,h=880]",480000,479997,3
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=35194,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=36073,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=36953,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=37833,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=38713,w=880,h=880]",480000,479994,6
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=39593,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=40473,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=41352,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=42232,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=43112,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=43992,w=880,h=880]",480000,479997,3
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=44872,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=11438,y=880,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=12318,y=0,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=12318,y=31674,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=12318,y=32554,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=12318,y=33434,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=12318,y=34314,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=12318,y=35194,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=12318,y=36073,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=12318,y=36953,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=12318,y=37833,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=12318,y=38713,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=12318,y=39593,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=12318,y=40473,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=12318,y=41352,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=12318,y=42232,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=12318,y=43112,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=12318,y=44872,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=12318,y=880,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=13198,y=0,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=13198,y=34314,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=13198,y=35194,w=879,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=13198,y=36073,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=13198,y=36953,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=13198,y=37833,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=13198,y=38713,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=13198,y=39593,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=13198,y=40473,w=879,h=879]",480000,479997,3
16045-1-101002,"16045-1-101002 [d=2.1996,x=13198,y=41352,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=13198,y=42232,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=13198,y=880,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14077,y=0,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14077,y=26395,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14077,y=27275,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14077,y=28155,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14077,y=29035,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14077,y=29915,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14077,y=35194,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14077,y=36073,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14077,y=36953,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14077,y=37833,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14077,y=38713,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14077,y=39593,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14077,y=40473,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14077,y=41352,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14077,y=880,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=0,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=24636,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=25515,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=26395,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=27275,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=28155,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=29035,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=29915,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=35194,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=36073,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=36953,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=37833,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=38713,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=39593,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=40473,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=41352,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=42232,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=43112,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=14957,y=880,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=0,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=23756,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=24636,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=25515,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=26395,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=27275,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=28155,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=29035,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=29915,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=30794,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=36073,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=36953,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=37833,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=38713,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=39593,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=40473,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=41352,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=42232,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=43112,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=43992,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=15837,y=880,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=0,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=11438,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=12318,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=13198,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=14077,w=880,h=880]",480000,479994,6
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=14957,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=15837,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=16717,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=22876,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=23756,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=24636,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=25515,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=26395,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=27275,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=28155,w=880,h=880]",480000,479997,3
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=29035,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=29915,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=30794,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=41352,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=42232,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=43112,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=43992,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=16717,y=880,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=0,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=10558,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=11438,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=12318,w=880,h=880]",480000,479997,3
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=13198,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=14077,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=14957,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=15837,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=16717,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=17597,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=18477,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=21116,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=21996,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=22876,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=23756,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=24636,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=25515,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=26395,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=27275,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=28155,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=29035,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=29915,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=30794,w=880,h=880]",480000,479997,3
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=31674,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=32554,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=17597,y=880,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=1760,y=0,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=1760,y=880,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=0,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=10558,w=879,h=880]",480000,479997,3
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=11438,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=12318,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=13198,w=879,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=14077,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=14957,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=15837,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=16717,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=17597,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=18477,w=879,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=19356,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=20236,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=21116,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=21996,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=22876,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=23756,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=24636,w=879,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=25515,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=26395,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=27275,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=28155,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=29035,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=29915,w=879,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=30794,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=31674,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=32554,w=879,h=880]",480000,479997,3
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=33434,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=34314,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=18477,y=9678,w=879,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=19356,y=0,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=19356,y=10558,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=19356,y=11438,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=19356,y=12318,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=19356,y=13198,w=880,h=879]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=19356,y=14077,w=880,h=880]",480000,480000,0
16045-1-101002,"16045-1-101002 [d=2.1996,x=19356,y=14957,w=880,h=880]",480000,480000,0
